keys,en,fr,zh_Hans_CN,ja,ko,ru,pl,es,pt,de,tr,it
continue_button,Continue,Continuer,继续,続く,계속하다,Продолжать,Kontynuować,Continuar,Continuar,Weitermachen,Devam etmek,Continuare
effect_increase_stat_gains,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %
effect_reduce_stat_gains,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %
item,Start with # {0},Commencez avec # {0},以 # {0} 开始,# {0} から開始,# {0}으로 시작,Начните с # {0},Zacznij od # {0},Comienza con # {0},Comece com # {0},Beginn mit # {0},# {0} ile başla,Inizia con # {0}
items_price,Items Price,Prix des objets,物品价格,アイテムの価格,아이템 가격,Цена предметов,Przedmioty Cena,Precio de los objetos,Preço dos itens,Artikelpreis,Öğeler Fiyat,Oggetti Prezzo
next_level_xp_needed,% XP to level up,% d'XP pour monter de niveau,升级所需的 XP 百分比,% のレベルアップ XP,레벨업을 위한 % XP,% XP для повышения уровня,% PD do awansu,% de XP para subir de nivel,% XP para subir de nível,% XP zum Levelaufstieg,Seviye atlamak için XP %,% XP per salire di livello
pacifist,Material & XP gained at end of wave,Matériaux et XP gagnés à la fin de la vague,波次结束时获得的材料和 XP,ウェーブ終了時に獲得する素材と XP,웨이브 종료 시 획득하는 재료 및 XP,Материалы и XP полученные в конце волны,Materiały i PD zdobyte na końcu fali,Material y XP obtenidos al final de la oleada,Material e XP ganhos no final da onda,Material & XP am Ende der Welle gewonnen,Dalga sonunda kazanılan malzeme ve XP,Materiali e XP guadagnati alla fine dell'ondata
stat,Starting {0},À partir de {0},起始 {0},{0} から開始,시작 {0},Начало {0},Rozpoczynając od {0},Inicio {0},Começando {0},Beginnend {0},Başlangıç {0},Inizio {0}
structure,Cannot equip additional structures (1 to equip),Impossible d'équiper des structures supplémentaires (1 pour équiper),无法装备其他结构（1 装备),追加の構造物を装備できません (装備するには 1),추가 구조물을 장착할 수 없음(장착 시 1개),Невозможно экипировать дополнительные структуры (1 для экипировки),Nie można wyposażyć dodatkowych struktur (1 do wyposażenia),No se pueden equipar estructuras adicionales (1 para equipar),Não é possível equipar estruturas adicionais (1 para equipar),Kann keine zusätzlichen Strukturen ausrüsten (1 zum Ausrüsten),Ek yapılar donatılamaz (donatmak için 1),Impossibile equipaggiare strutture aggiuntive (1 per equipaggiare)
weapon_class,% Damage with {0} weapons,% de dégâts avec {0} armes,使用 {0} 件武器造成的伤害百分比,{0} 個の武器によるダメージ%,{0} 무기의 피해량 %,% урона от {0} оружия,% obrażeń za pomocą broni {0},% de daño con {0} armas,% de dano com {0} armas,% Schaden mit {0} Waffen,{0} silahla verilen hasar yüzdesi,% danno con {0} armi
ALL_WEAPONS_COUNT_FOR_SETS,Every weapon contributes to bonuses,Chaque arme contribue aux bonus,每种武器都有助于获得奖励,すべての武器がボーナスに貢献します,모든 무기가 보너스에 기여,Каждое оружие вносит свой вклад в бонусы,Każda broń przyczynia się do premii,Cada arma contribuye a las bonificaciones,Todas as armas contribuem para bônus,Jede Waffe trägt zu Boni bei,Her silah bonuslara katkıda bulunur,Ogni arma contribuisce ai bonus
BONUS_NON_ELEMENTAL_DAMAGE_AGAINST_BURNING_TARGETS,Damage % of non-elemental weapons,% de dégâts des armes non élémentaires,非元素武器的伤害百分比,非属性武器のダメージ %,비원소 무기의 데미지 %,% урона неэлементарного оружия,% obrażeń broni nieelementarnych,Porcentaje de daño de las armas no elementales,Dano % de armas não elementais,Schadensprozentsatz von nicht-elementaren Waffen,Elemental olmayan silahların hasar %'si,% di danno delle armi non elementali
CAN_ATTACK_WHILE_MOVING,Can attach while moving (1 to turn on),Peut attaquer en se déplaçant (1 pour activer),移动时可以攻击（1 开启,移動しながら攻撃できます (オンにするには 1),이동 중 공격 가능(켜려면 1개),Можно атаковать во время движения (1 для включения),Można atakować podczas ruchu (1 do włączenia),Se puede atacar mientras se está en movimiento (1 para activar),Pode atacar enquanto se move (1 para ativar),Kann während der Bewegung angreifen (1 zum Einschalten),Hareket halindeyken saldırabilir (açmak için 1),Può attaccare mentre si muove (1 per attivare)
CONVERT_BONUS_GOLD,# Materials to increase Structure attack speed,# Matériaux pour augmenter la vitesse d'attaque des structures,增加结构攻击速度的材料百分比,構造物の攻撃速度を上げる素材の数,구조물 공격 속도를 높이는 재료 #,# Материалов для увеличения скорости атаки структуры,# Materiały do zwiększenia szybkości ataku struktur,Número de materiales para aumentar la velocidad de ataque de las estructuras,# Materiais para aumentar a velocidade de ataque da estrutura,# Materialien zur Erhöhung der Angriffsgeschwindigkeit von Strukturen,# Yapı saldırı hızını artırmak için malzemeler,# Materiali per aumentare la velocità di attacco delle strutture
CUSTOMIZE_CHARACTER_EFFECTS,Customize Character Effects,Personnaliser les Effets des Personnages,自定义角色效果,キャラクター効果をカスタマイズする,캐릭터 효과 사용자 정의,Настройте эффекты персонажа,Dostosuj efekty postaci,Personalizar los efectos de los personajes,Personalize os efeitos dos personagens,Charaktereffekte anpassen,Karakter efektlerini özelleştir,Personalizza gli effetti dei personaggi
CRYPTID,Material & XP gained for trees at end of wave,Matériaux et XP gagnés pour les arbres à la fin de la vague,波次结束时树木获得的材料和 XP,ウェーブ終了時に木から獲得する素材と XP,웨이브 종료 시 나무에 대한 획득하는 재료 및 XP,Материалы и XP полученные за деревья в конце волны,Materiały i PD zdobyte za drzewa na końcu fali,Material y XP obtenidos por los árboles al final de la oleada,Material e XP ganhos para árvores no final da onda,Material & XP für Bäume am Ende der Welle gewonnen,Dalga sonunda ağaçlar için kazanılan malzeme ve XP,Materiali e XP guadagnati per gli alberi alla fine dell'ondata
DESTROY_WEAPONS,Weapons destroyed when enter shop (0 to turn off),Armes détruites en entrant dans la boutique (0 pour désactiver),进入商店时被摧毁的武器（0 关闭),ショップに入ると破壊される武器 (オフにするには 0),상점에 들어갔을 때 파괴되는 무기(끄려면 0개),Оружие уничтожается при входе в магазин (0 для выключения),Broń zniszczona po wejściu do sklepu (0 do wyłączenia),Armas destruidas al entrar en la tienda (0 para desactivar),Armas destruídas ao entrar na loja (0 para desativar),Waffen werden beim Betreten des Ladens zerstört (0 zum Ausschalten),Mağazaya girildiğinde yok edilen silahlar (kapatmak için 0),Armi distrutte quando si entra nel negozio (0 per disattivare)
DISABLE_ITEM_LOCKING,Cannot lock items (0 to allow lock),Impossible de verrouiller les objets (0 pour autoriser le verrouillage),无法锁定物品（0 允许锁定),アイテムをロックできません (ロックを許可するには 0),아이템을 잠글 수 없음(잠금을 허용하려면 0개),Невозможно заблокировать предметы (0 для включения блокировки),Nie można zablokować przedmiotów (0 do zezwolenia na zablokowanie),No se pueden bloquear objetos (0 para permitir el bloqueo),Não é possível bloquear itens (0 para permitir o bloqueio),Artikel können nicht gesperrt werden (0 zum Sperren zulassen),Öğeler kilitlenemez (kilide izin vermek için 0),Impossibile bloccare gli oggetti (0 per consentire il blocco)
DODGE_CAP,Dodge % cap,Capuche de % d'esquive,躲避百分比上限,回避率の上限,회피 % 제한,Предел уклонения %,Ograniczenie uników %,Límite de % de esquiva,Limite de % de esquiva,Ausweichprozentsatz-Obergrenze,Saldırma % sınırı,% limite di schivata
ENEMY_FRUIT_DROPS,Chance enemies have to drop fruit,Chance que les ennemis doivent laisser tomber des fruits,敌人掉落水果的几率,敵が果物を落とす確率,적들이 과일을 떨어뜨릴 확률,Вероятность того что враги должны будут сбросить фрукты,Szansa że wrogowie muszą upuścić owoce,Probabilidad que tienen los enemigos de dejar caer fruta,Chance que os inimigos têm de derrubar frutas,Chance dass Feinde Früchte fallen lassen,Düşmanların meyve düşürme şansı,Probabilità che i nemici debbano far cadere la frutta
ENEMY_GOLD_DROPS,% Materials dropped by enemies,% Matériaux lâchés par les ennemis,敌人掉落的材料百分比,% の敵が落とす素材,적이 떨어뜨린 재료 %,% Материалов сброшенных врагами,% Materiały upuszczane przez wrogów,Porcentaje de materiales que dejan caer los enemigos,% Materiais derrubados por inimigos,% von Feinden fallengelassene Materialien,Düşmanlar tarafından düşürülen malzemeler %,% Materiali lasciati cadere dai nemici
EXPLODE_ON_CONSUMABLE_BURNING,Consumables explode when picked up (0 to turn off),Les consommables explosent lorsqu'ils sont ramassés (0 pour désactiver),拾取消耗品时爆炸（0 关闭）,拾うと消耗品が爆発します (オフにするには 0),소모품을 주울 때 폭발(끄려면 0개),Расходные материалы взрываются при поднятии (0 для выключения),Przedmioty eksploatacyjne wybuchają po podniesieniu (0 do wyłączenia),Los consumibles explotan al recogerlos (0 para desactivar),Os consumíveis explodem quando pegos (0 para desativar),Verbrauchsgüter explodieren beim Aufheben (0 zum Ausschalten),Alındığında sarf malzemeleri patlar (kapatmak için 0),I materiali di consumo esplodono quando vengono raccolti (0 per disattivare)
EXPLODE_ON_HIT,Explode when taking damage (0 to turn off),Explosent lorsqu'ils subissent des dégâts (0 pour désactiver),受到伤害时爆炸（0 关闭）,ダメージを受けると爆発します (オフにするには 0),피해를 입으면 폭발(끄려면 0개),Взрываются при получении урона (0 для выключения),Wybuchają po otrzymaniu obrażeń (0 do wyłączenia),Explotan al recibir daño (0 para desactivar),Explodem ao receber dano (0 para desativar),Explosion bei Schaden (0 zum Ausschalten),Hasar alındığında patlar (kapatmak için 0),Esplodono quando subiscono danni (0 per disattivare)
EXPLODE_ON_OVERKILL,Enemies explode (do not modify),Les ennemis explosent (ne pas modifier),敌人爆炸（不修改）,敵が爆発します (変更しない),적들이 폭발(수정 불가),Враги взрываются (не изменять),Wrogowie wybuchają (nie modyfikują),Los enemigos explotan (no modificar),Os inimigos explodem (não modifique),Feinde explodieren (nicht ändern),Düşmanlar patlar (değiştirmeyin),I nemici esplodono (non modificare)
EXTRA_LOOT_ALIENS,# Loot aliens per wave,# Piller les extraterrestres par vague,每波掠夺外星人的百分比,ウェーブごとにエイリアンを略奪します #,웨이브당 약탈하는 외계인 #,# Ограбление пришельцев за волну,# Łup obcych na falę,Número de alienígenas botín por oleada,# Saqueie alienígenas por onda,# Aliens pro Welle plündern,# Dalga başına uzaylı yağmalanır,# Alieni bottino per ondata
GAIN_PCT_GOLD_START_WAVE,% Materials at start of wave,% Matériaux au début de la vague,波次开始时的材料百分比,ウェーブ開始時の素材の数,웨이브 시작 시 % 재료,% Материалов в начале волны,% Materiały na początku fali,Porcentaje de materiales al inicio de la oleada,% Materiais no início da onda,% Materialien zu Beginn der Welle,Dalga başında malzemeler %,% Materiali all'inizio dell'ondata
GOLD,Materials gained every 10 steps,Matériaux gagnés toutes les 10 étapes,每 10 步获得的材料百分比,10 ステップごとに獲得する素材の数,10단계마다 획득하는 재료,Материалы полученные каждые 10 шагов,Materiały zdobywane co 10 kroków,Materiales obtenidos cada 10 pasos,Materiais ganhos a cada 10 passos,Alle 10 Schritte gewonnene Materialien,Her 10 adımda kazanılan malzemeler,Materiali guadagnati ogni 10 passi
GOLD_DROPS,% Materials dropped,% Matériaux lâchés,掉落的材料百分比,% のドロップ素材の数,떨어진 재료 %,% Сброшенных материалов,% upuszczonych materiałów,Porcentaje de materiales que se dejan caer,% Materiais derrubados,% fallengelassene Materialien,Düşen malzemeler %,% Materiali lasciati cadere
GROUP_STRUCTURES,Structures spawn close to each other (0 to turn off),Les structures apparaissent proches les unes des autres (0 pour activer off),结构彼此靠近生成（0 关闭）,構造物が互いに近くに出現します (オフにするには 0),구조물이 서로 가까이 생성(끄려면 0개),Структуры появляются близко друг к другу (0 для выключения),Struktury pojawiają się blisko siebie (0 do wyłączenia),Las estructuras aparecen cerca unas de otras (0 para desactivar),Estruturas surgem próximas umas das outras (0 para desativar),Strukturen erscheinen nahe beieinander (0 zum Ausschalten),Yapılar birbirine yakın ortaya çıkar (kapatmak için 0),Le strutture si generano vicine tra loro (0 per disattivare)
HARVESTING_GROWTH,% Harvesting at end of wave,% Récolte à la fin de la vague,收获百分比波次结束,ウェーブ終了時の収穫率,웨이브 종료 시 수확 %,% Сбора урожая в конце волна,% zbiorów na końcu wave,Porcentaje de cosecha al final de la oleada,% Colheita no final da onda,% Ernte am Ende der Welle,Dalga sonunda hasat %,% Raccolta alla fine dell'ondata
HP_SHOP,Use HP to buy in shop (0 to turn off),Utilisez HP pour acheter dans la boutique (0 pour désactiver),使用 HP 在商店购买（0 关闭）,HP を使用ショップで購入する（0 でオフ）,상점에서 구매하는 데 HP 사용 (0으로 끄기),Используйте HP для покупок в магазине (0 чтобы выключить),Użyj HP aby kupić w sklepie (0 aby wyłączyć),Usa HP para comprar en la tienda (0 para desactivar),Use HP para comprar na loja (0 para desativar),HP zum Kaufen im Laden verwenden (0 zum Ausschalten),Satın almak için HP kullanın dükkanda (kapatmak için 0),Usa HP per acquistare nel negozio (0 per off)
INCREASE_MATERIAL_VALUE,Material % value,Valeur de matériau en %,材料 % 价值,素材 % 値,재료 % 값,Процент стоимости материалов,Materiał % wartości,Material % valor,Valor do material %,Materialprozentsatz Wert,Malzeme % değeri,Materiale % valore
ITEM_STEALS,Item steals (in shop),Vol d'objets (dans la boutique),物品偷窃（在商店）,アイテムの盗難（ショップ内）,아이템 훔치기(상점에서),Кража предметов (в магазине),Kradzież przedmiotów (w sklepie),Artículo robado (en la tienda),Roubos de itens (na loja),Gegenstand stehlen (im Shop),Öğe çalınması (dükkanda),Oggetti rubati (nel negozio)
ITEM_STEALS_SPAWNS_RANDOM_ELITE,Spawn Elite (stealing items from shop),Générer des élites (voler des objets dans la boutique),生成精英（从商店偷取物品）,エリートの出現（ショップからアイテムを盗む）,엘리트 소환(상점에서 아이템 훔치기),Создание элиты (кража предметов из магазина),Przywołaj Elitę (kradzież przedmiotów ze sklepu),Generar Elite (roba artículos de la tienda),Gerar Elite (roubar itens da loja),Elite spawnen (Gegenstände aus Shop stehlen),Seçkin yarat (dükkandan öğe çalma),Genera Elite (rubando oggetti dal negozio)
LOSE_HP_PER_SECOND,Take HP damage per second,Subir des dégâts HP par seconde,每秒受到 HP 伤害,1 秒あたりの HP ダメージを受ける,초당 HP 피해 입기,Получайте урон HP в секунду,Otrzymuj obrażenia HP na sekundę,Recibe daño de HP por segundo,Receber dano de HP por segundo,HP-Schaden pro Sekunde erleiden,Saniyede HP hasarı al,Subisci danni HP al secondo
LEVEL_UPGRADES_MODIFICATIONS,Stat % from level upgrades,Pourcentage de statistiques des améliorations de niveau,等级升级后的统计 %,レベル アップグレードによるステータス %,레벨 업그레이드로 인한 통계 %,Процент характеристик от улучшений уровня,Stat % z ulepszeń poziomu,Estadística % de mejoras de nivel,Estat % de atualizações de nível,Stat-Prozentsatz von Level-Upgrades,Seviye yükseltmelerinden gelen Stat %'si,Stat % dagli aggiornamenti di livello
MATERIALS,Materials converted into HP (do not modify),Matériaux convertis en HP (ne pas modifier),材料转换为 HP（不修改）,素材を HP に変換する（変更しない）,재료를 HP로 변환(수정 불가),Материалы преобразованные в HP (не изменять),Materiały zamienione na HP (nie modyfikuj),Materiales convertidos en HP (no modificar),Materiais convertidos em HP (não modificar),In HP umgewandelte Materialien (nicht ändern),HP'ye dönüştürülen malzemeler (değiştirmeyin),Materiali convertiti in HP (non modificare)
MAX_MELEE_WEAPONS,Max # Melee weapons,Nombre max d'armes de mêlée,最大 # 近战武器,近接武器の最大数,최대 근접 무기 수,Макс. # оружия ближнего боя,Maks. # broni białej,Número máximo de armas cuerpo a cuerpo,Número máximo de armas corpo a corpo,Max. Anzahl Nahkampfwaffen,Maksimum # Yakın dövüş silahları,Max # armi da mischia
MAX_RANGED_WEAPONS,Max # Ranged weapons,Nombre max d'armes à distance,最大 # 远程武器,遠隔武器の最大数,최대 원거리 무기 수,Макс. # оружия дальнего боя,Maks. # broni dystansowej,Número máximo de armas a distancia,Número máximo de armas de longo alcance,Max. Anzahl Fernkampfwaffen,Maksimum # Menzilli silahlar,Max # armi a distanza
MAX_TURRET_COUNT,Max # Turrets,Nombre max de tourelles,最大 # 炮塔,タレットの最大数,최대 포탑 수,Макс. # турелей,Maks. # wieżyczek,Número máximo de torretas,Número máximo de torres,Max. Anzahl Geschütztürme,Maksimum # Taret,Max # torrette
MAX_WEAPON_TIER,Cannot equip weapons above tier (0-3),Impossible d'équiper des armes au-dessus du niveau (0-3),无法装备高于等级的武器（0-3）,ティア以上の武器を装備できない（0～3）,티어 위의 무기는 장착 불가(0-3),Нельзя экипировать оружие выше уровня (0-3),Nie można wyposażyć broni powyżej poziomu (0-3),No se pueden equipar armas por encima del nivel (0-3),Não é possível equipar armas acima do nível (0-3),Kann keine Waffen über Stufe (0-3) ausrüsten,Seviye üstü silahlar donatılamaz (0-3),Impossibile equipaggiare armi di livello superiore (0-3)
MIN_WEAPON_TIER,Can only equip weapons above tier (0-2),Impossible d'équiper uniquement des armes au-dessus du niveau (0-2),只能装备高于等级的武器（0-2）,ティア以上の武器のみ装備できる（0～2）,티어 위의 무기만 장착 가능(0-2),Можно экипировать только оружие выше уровня (0-2),Można wyposażyć tylko broń powyżej poziomu (0-2),Solo se pueden equipar armas por encima del nivel (0-2),Só é possível equipar armas acima do nível (0-2),Kann nur Waffen über Stufe (0-2) ausrüsten,Sadece seviye üstü silahlar donatılabilir (0-2),Può equipaggiare solo armi di livello superiore (0-2)
MINIMUM_WEAPONS_IN_SHOP,Shop always has # weapons,La boutique a toujours # armes,商店始终有 # 武器,ショップには常に武器が # 個あります,상점에는 항상 무기 #개가 있음,В магазине всегда есть # оружия,Sklep zawsze ma # broni,La tienda siempre tiene # armas,A loja sempre tem # armas,Shop hat immer # Waffen,Mağazada her zaman # silah bulunur,Il negozio ha sempre # armi
NO_DUPLICATE_WEAPONS,Cannot have duplicate weapon equipped (0 to turn off),Impossible d'avoir une arme en double équipée (0 pour désactiver),无法装备重复的武器（0 关闭）,重複した武器を装備できない（0 でオフ）,중복 무기 장착 불가(0으로 끄기),Нельзя экипировать дубликат оружия (0 чтобы выключить),Nie można wyposażyć duplikatu broni (0 aby wyłączyć),No se puede tener un arma duplicada equipada (0 para desactivar),Não é possível equipar arma duplicada (0 para desativar),Kann keine doppelte Waffe ausrüsten (0 zum Ausschalten),Yinelenen silah donatılamaz (kapatmak için 0),Impossibile equipaggiare armi duplicate (0 per disattivare)
NO_HEAL,Cannot heal in any way (0 to turn on),Impossible de soigner de quelque façon que ce soit (0 pour activer),无法以任何方式治愈（0 打开）,いかなる方法でも回復できない（0 でオン）,어떤 식으로든 치료 불가(0으로 켜기),Нельзя лечить никаким образом (0 чтобы включить),Nie można leczyć w żaden sposób (0 aby włączyć),No se puede curar de ninguna manera (0 para activar),Não é possível curar de forma alguma (0 para ativar),Kann in keiner Weise heilen (0 zum Einschalten),Hiçbir şekilde iyileşemez (açmak için 0),Impossibile curare in alcun modo (0 per attivare)
NO_MELEE_WEAPONS,Cannot equip Melee (0 to equip),Impossible d'équiper des armes de mêlée (0 pour équiper),无法装备近战（0 装备）,近接武器を装備できない（0 で装備）,근접 무기 장착 불가(0으로 장착),Нельзя экипировать оружие ближнего боя (0 чтобы экипировать),Nie można wyposażyć Broń białą (0 aby wyposażyć),No se puede equipar cuerpo a cuerpo (0 para equipar),Não é possível equipar corpo a corpo (0 para equipar),Kann keinen Nahkampf ausrüsten (0 zum Ausrüsten),Yakın dövüş donatılamaz (donatmak için 0),Impossibile equipaggiare armi da mischia (0 per equipaggiare)
NO_RANGED_WEAPONS,Cannot equip Ranged (0 to equip),Impossible d'équiper des armes à distance (0 pour équiper),无法装备远程（0 装备）,遠隔武器を装備できない（0 で装備）,원거리 무기 장착 불가(0으로 장착),Нельзя экипировать оружие дальнего боя (0 чтобы экипировать),Nie można wyposażyć Broń dystansową (0 aby wyposażyć),No se puede equipar a distancia (0 para equipar),Não é possível equipar à distância (0 para equipar),Kann keine Fernkampfwaffe ausrüsten (0 zum Ausrüsten),Mesafeli donatılamaz (donatmak için 0),Impossibile equipaggiare armi a distanza (0 per equipaggiare)
POISONED_FRUIT,% of fruits poisoned when dropped,% de fruits empoisonnés lorsqu'ils sont lâchés,掉落时中毒的水果百分比,ドロップ時に毒になる果物の割合,떨어졌을 때 과일의 %가 중독됨,% фруктов отравленных при падении,% owoców zatrutych po upuszczeniu,% de frutas envenenadas al caer,% de frutas envenenadas quando caídas,% der Früchte vergiftet wenn sie fallen gelassen werden,Atıldığında zehirlenen meyvelerin %'si,% di frutti avvelenati quando lasciati cadere
PROJECTILES,# Projectiles,Nombre de projectiles,# 射弹,発射物の数,투사체 수,# снарядов,# Pociski,# Proyectiles,Número de projéteis,# Projektile,# Mermiler,# proiettili
RECYCLING_GAINS,% Gained from recycling materials,% gagnés en recyclant les matériaux,回收材料获得的百分比,素材のリサイクルから得られる割合,재료 재활용으로 얻은 %,% получено от переработки материалов,% uzyskane z recyklingu materiałów,% obtenido al reciclar materiales,% obtido com materiais de reciclagem,% durch Recycling von Materialien gewonnen,Malzemeleri geri dönüştürerek kazanılan %,% ottenuto riciclando materiali
RELOAD_WHEN_PICKUP_GOLD,Cooldown resets when picking up material (0 to turn off),Le temps de recharge se réinitialise lors de la récupération de matériaux (0 pour désactiver),拾取材料时冷却时间重置（0 关闭）,素材を拾うとクールダウンがリセットされる（0 でオフ）,재료를 주울 때 재사용 대기시간 초기화(0으로 끄기),Перезарядка сбрасывается при подборе материала (0 чтобы выключить),Czas odnowienia resetuje się po podniesieniu materiału (0 aby wyłączyć),El tiempo de reutilización se reinicia al recoger material (0 para desactivar),O tempo de recarga é redefinido ao coletar material (0 para desativar),Abklingzeit wird beim Aufheben von Material zurückgesetzt (0 zum Ausschalten),Malzeme alındığında soğuma süresi sıfırlanır (kapatmak için 0),Il tempo di recupero si azzera quando si raccoglie materiale (0 per disattivare)
STRONGER_ELITES_ON_KILL,Elite HP gained after kill,HP d'élite gagnés après avoir tué,杀死后获得的精英 HP,エリートの HP がキル後に獲得,처치 후 엘리트 HP 획득,Элитное HP полученное после убийства,Elitarne HP uzyskane po zabiciu,HP de Elite obtenido después de matar,HP de elite obtido após a morte,Elite-HP nach Kill gewonnen,Öldürdükten sonra kazanılan Seçkin HP,HP Elite guadagnati dopo l'uccisione
STRONGER_LOOT_ALIENS_ON_KILL,Loot alien HP gained after kill,Pillage des HP extraterrestres gagnés après avoir tué,杀死后获得的战利品外星人 HP,戦利品エイリアンの HP がキル後に獲得,처치 후 전리품 외계인 HP 획득,Добыча инопланетного HP полученного после убийства,Łup obce HP uzyskane po zabiciu,HP de alienígena obtenido después de matar,HP de saque alienígena obtido após a morte,Plünderung von Alien-HP nach Kill gewonnen,Öldürdükten sonra kazanılan yabancı HP'yi yağmala,HP alieno bottino guadagnati dopo l'uccisione
TREES_START_WAVE,Trees spawn at start of wave (0 to turn off),Les arbres apparaissent au début de la vague (0 pour désactiver),波次开始时生成的树木（0 到关闭),ウェーブの開始時に木が出現（0 でオフ）,웨이브 시작 시 나무 생성(0으로 끄기),Деревья появляются в начале волны (0 чтобы повернуть выкл),Drzewa pojawiają się na początku fali (0 aby wyłączyć),Los árboles aparecen al comienzo de la oleada (0 para desactivar),Árvores surgem no início da onda (0 para desativar),Bäume spawnen zu Beginn der Welle (0 zum Ausschalten),Ağaçlar dalganın başında ortaya çıkar (kapatmak için 0),Gli alberi compaiono all'inizio dell'ondata (0 per disattivare)
UPGRADED_BAITS,Bait in every shop (0 to turn off),Appât dans chaque boutique (0 pour désactiver),每个商店都有诱饵 (0 关闭),すべてのショップに餌（0～オフにする),모든 상점에 미끼(0으로 끄기),Приманка в каждом магазине (0 чтобы выключить),Przynęta w każdym sklepie (0 aby wyłączyć),Cebo en cada tienda (0 para desactivar),Isca em todas as lojas (0 para desativar),Köder in jedem Shop (0 zum Ausschalten),Her dükkanda yem (0 kapatmak için),Esca in ogni negozio (0 per disattivare)
WEAPON_FIST_1,Start with # Fist,Commencez avec # poing,以 # 拳头开始,# 拳から開始,주먹 #개로 시작,Начните с # Кулака,Rozpocznij od # Pięść,Comienza con # Puño,Comece com # Punho,Starten mit # Faust,# Yumruk ile başla,Inizia con # pugno
WEAPON_HARPOON_GUN_2,Start with # Harpoon gun,Commencez avec # fusil à harpon,以 # 鱼叉枪开始,# ハープーンガンから開始,시작 # 작살총,Начните с # Гарпуна,Rozpocznij od # Działo harpunnicze,Comienza con # Arpón Pistola,Comece com # Arpão,Starten mit # Harpunengewehr,# Zıpkın tabancası ile başla,Inizia con # arpione pistola
WEAPON_KNIFE_1,Start with # Knife,Commencez avec # couteau,以 # 刀开始,# ナイフから開始,# 칼로 시작,Начните с # Ножа,Rozpocznij od # Nóż,Comienza con # Cuchillo,Comece com # Faca,Starten mit # Messer,# Bıçak ile başla,Inizia con # Coltello
WEAPON_PISTOL_1,Start with # Pistol,Commencez avec # pistolet,以 # 手枪开始,# ピストルから開始,# 권총으로 시작,Начните с # Пистолета,Rozpocznij od # Pistolet,Comienza con # Pistola,Comece com # Pistola,Starten mit # Pistole,# Tabanca ile başla,Inizia con # Pistola
WEAPON_SLOT_UPGRADES,Upgrades add # weapon slots instead of stats,Les améliorations ajoutent # emplacements d'armes au lieu de statistiques,升级添加 # 武器槽而不是统计数据,アップグレードによりステータスの代わりに # 武器スロットが追加されます,업그레이드하면 통계 대신 # 무기 슬롯이 추가됩니다.,Улучшения добавляют # слотов для оружия вместо характеристик,Ulepszenia dodają # sloty broni zamiast statystyk,Las mejoras agregan # ranuras para armas en lugar de estadísticas,Melhorias adicionam # slots de arma em vez de estatísticas,Upgrades fügen # Waffenplätze statt Statistiken hinzu,Yükseltmeler istatistikler yerine # silah yuvası ekler,Gli aggiornamenti aggiungono # slot arma invece di statistiche
WEAPON_STICK_1,Start with # Stick,Commencez avec # bâton,以 # 棍棒开始,# スティックから開始,# 스틱으로 시작,Начните с # Палки,Rozpocznij od # Kij,Comienza con # Palo,Comece com # Bastão,Beginnen Sie mit # Stock,# Sopa ile başla,Inizia con # Bastone
WEAPON_WRENCH_1,Start with # Wrench,Commencez avec # clé,以 # 扳手开始,# レンチから開始,# 렌치로 시작,Начните с # Гаечного ключа,Rozpocznij od # Klucz,Comienza con # Llave inglesa,Comece com # Chave Inglesa,Beginnen Sie mit # Schraubenschlüssel,# Anahtar ile başla,Inizia con # Chiave inglese